Company,Title,Category,Url
Susquehanna International Group,Discovery Programme 2026,Trading and Quant,https://careers.sig.com/search-results?keywords=discovery+program&location=Dublin%2C+Ireland&utm_source=Trackr&utm_medium=tracker&utm_campaign=UK_Finance_2026
UBS,2026 Tomorrow's Talent & Spring Insight Program,Bulge Bracket,https://jobs.ubs.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25008&siteid=5131&PageType=JobDetails&jobid=335457&utm_source=Trackr&utm_medium=tracker&utm_campaign=UK_Finance_2026#jobDetails=335457_5131
Caprae Capital,Buyside Deal Acquisition Internship (part-time),Asset Management,https://www.capraecapital.com/bda-internships?utm_source=Trackr&utm_medium=tracker&utm_campaign=UK_Finance_2026
BlackRock,2026 Spring Insight Event - EMEA,Asset Management,https://blackrock.tal.net/vx/lang-en-GB/mobile-0/brand-3/user-1735377/xf-6a8790cf84a5/candidate/so/pm/1/pl/1/opp/9616-2026-Spring-Insight-Event-EMEA/en-GB?utm_source=Trackr&utm_medium=tracker&utm_campaign=UK_Finance_2026
Blackstone,2026 Spring Insight Program,Asset Management,https://blackstone.wd1.myworkdayjobs.com/en-US/Blackstone_Campus_Careers/job/London/XMLNAME-2026-Blackstone-EMEA-Spring-Insight-Program_39346?utm_source=Trackr&utm_medium=tracker&utm_campaign=UK_Finance_2026&source=Trackr
J.P. Morgan,2026 Spring Into JPMorganChase,Bulge Bracket,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/jobs?utm_source=Trackr&utm_medium=tracker&utm_campaign=UK_Finance_2026&iis=Trackr&sType=Trackr&keyword=%22spring+into%22&location=United+Kingdom&locationId=300000000289276&locationLevel=country&mode=location
Point72,2026 Point72 Academy Spring Insight Programme,Asset Management,https://job-boards.greenhouse.io/point72/jobs/8172206002?gh_jid=8172206002&utm_source=Trackr&utm_medium=tracker&utm_campaign=UK_Finance_2026&gh_src=Trackr
Evercore,Advisory Spring Week (2026),Elite Boutique,https://jobs.smartrecruiters.com/ni/Wiser/912c94d6-7681-4601-990b-9f69c516a5a7-spring-week-2027-evercore?utm_source=Trackr&utm_medium=tracker&utm_campaign=UK_Finance_2026&trid=Trackr&dcr_ci=Trackr
Optiver,FutureFocus: Quants 2026,Trading and Quant,https://optiver.com/working-at-optiver/career-opportunities/8183755002/?gh_jid=8183755002&utm_source=Trackr&utm_medium=tracker&utm_campaign=UK_Finance_2026&gh_src=Trackr
Tencent,Business Development Intern,Speculative Internships,https://tencent.wd1.myworkdayjobs.com/en-US/Tencent_Careers/job/Business-Development-Intern_R106101?utm_source=Trackr&utm_medium=tracker&utm_campaign=UK_Finance_2026&source=Trackr
Blackstone,2026 Future Leaders Program,Asset Management,https://blackstone.wd1.myworkdayjobs.com/en-US/Blackstone_Campus_Careers/job/XMLNAME-2026-Blackstone-EMEA-Future-Leaders-Program_39444?utm_source=Trackr&utm_medium=tracker&utm_campaign=UK_Finance_2026&source=Trackr
Rothschild & Co.,2026 Spring Insight Programme,Elite Boutique,https://rothschildandco.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-4/xf-65ba0ca5acdb/candidate/jobboard/vacancy/2/adv/?utm_source=Trackr&utm_medium=tracker&utm_campaign=UK_Finance_2026&f_Item_Opportunity_78763_lk=523763&f_Item_Opportunity_60426_lk=523766
Jane Street,FOCUS / FTTP,Trading and Quant,https://www.janestreet.com/join-jane-street/programs-and-events/?location=europe&program-type=university%2Caccepting-applications&event-type=all-events&show-programs=true&show-events=true&utm_source=Trackr&utm_medium=tracker&utm_campaign=UK_Finance_2026
GSA Capital,Women in Trading Insight Programme,Trading and Quant,https://boards.greenhouse.io/embed/job_app?for=gsacapital&token=8199077002&utm_source=Trackr&utm_medium=tracker&utm_campaign=UK_Finance_2026&gh_src=Trackr
Principal Asset Management,Intern,Asset Management,https://www.linkedin.com/jobs/view/4300313256/?utm_source=Trackr&utm_medium=tracker&utm_campaign=UK_Finance_2026
Marriott International,Finance Intern,Speculative Internships,https://ejwl.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/25122850?utm_source=Trackr&utm_medium=tracker&utm_campaign=UK_Finance_2026&iis=Trackr&sType=Trackr
Nomura,Women's Immersion Programme,Middle Market,https://nomuracampus.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-4/user-598163/xf-5eab17dcb829/candidate/so/pm/1/pl/1/opp/1270-2026-Women-s-Immersion-Programme-Global-Markets-Investment-Banking-London/en-GB?utm_source=Trackr&utm_medium=tracker&utm_campaign=UK_Finance_2026
Future Planet Capital,Venture Capital Micro-Internship,Asset Management,https://forms.office.com/pages/responsepage.aspx?utm_source=Trackr&utm_medium=tracker&utm_campaign=UK_Finance_2026&id=wVsTnFuMOke0zjQMrZqPizdjYq_vbDxFicXrS9K0za9UN1BHVzNGQUdSSUlEMkNEMjRBWjNJQkExNS4u&route=shorturl
White Fire Technologies,"Business Development Intern (Part-Time, 3 Months)",Speculative Internships,https://www.linkedin.com/jobs/view/4298385210/?utm_source=Trackr&utm_medium=tracker&utm_campaign=UK_Finance_2026
G-Research,Spring into Quant Finance 2026,Trading and Quant,https://share-eu1.hsforms.com/1Dl_5Hb5dRaGAQzqP7irEVg2b8apt?utm_source=Trackr&utm_medium=tracker&utm_campaign=UK_Finance_2026
Virtu Financial,Women's Winternship,Trading and Quant,https://job-boards.greenhouse.io/virtu/jobs/8066276002?utm_source=Trackr&utm_medium=tracker&utm_campaign=UK_Finance_2026&gh_src=Trackr
